mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing
1.26395608076e+13,1404880291.0,275145.9375,317830.21875,2.5,254.199996948,18.9265403748,-18.9709224701,-1.0
1.26395608076e+13,1404880291.0,275145.9375,317830.21875,2.5,254.199996948,18.9265403748,-18.9709224701,-1.0
1.26395608076e+13,1404906863.0,254819.171875,264993.5,4.5999999046,19.0,19.5753040314,-18.9581375122,-1.0
1.26395608076e+13,1404906863.0,254819.171875,264993.5,4.5999999046,19.0,19.5753040314,-18.9581375122,-1.0
1.26395608076e+13,1404912327.0,259874.359375,269869.25,8.1000003815,248.899993897,19.629365921,-19.0583152771,-1.0
1.26395608076e+13,1404912327.0,259874.359375,269869.25,8.1000003815,248.899993897,19.629365921,-19.0583152771,-1.0
1.26395608076e+13,1404926155.0,307368.4375,317597.3125,8.8000001907,179.699996948,19.2967643738,-19.3203239441,-1.0
1.26395608076e+13,1404926155.0,307368.4375,317597.3125,8.8000001907,179.699996948,19.2967643738,-19.3203239441,-1.0
1.26395608076e+13,1404926155.0,307368.4375,317597.3125,8.8000001907,179.699996948,19.2967643738,-19.3203239441,-1.0
1.26395608076e+13,1404926155.0,307368.4375,317597.3125,8.8000001907,179.699996948,19.2967643738,-19.3203239441,-1.0
1.26395608076e+13,1404927977.0,309516.25,322496.375,8.3000001907,185.800003052,19.2243995667,-19.3208999634,-1.0
1.26395608076e+13,1404927977.0,309516.25,322496.375,8.3000001907,185.800003052,19.2243995667,-19.3208999634,-1.0
1.26395608076e+13,1404927977.0,309516.25,322496.375,8.3000001907,185.800003052,19.2243995667,-19.3208999634,-1.0
1.26395608076e+13,1404927977.0,309516.25,322496.375,8.3000001907,185.800003052,19.2243995667,-19.3208999634,-1.0
1.26395608076e+13,1404928082.0,309516.25,322496.375,8.6999998093,181.199996948,19.2201957703,-19.3211288452,-1.0
1.26395608076e+13,1404928082.0,309516.25,322496.375,8.6999998093,181.199996948,19.2201957703,-19.3211288452,-1.0
1.26395608076e+13,1404928082.0,309516.25,322496.375,8.6999998093,181.199996948,19.2201957703,-19.3211288452,-1.0
1.26395608076e+13,1404928082.0,309516.25,322496.375,8.6999998093,181.199996948,19.2201957703,-19.3211288452,-1.0
1.26395608076e+13,1404928101.0,309576.0,323117.4375,8.8000001907,184.600006103,19.2193908691,-19.3211345673,-1.0
1.26395608076e+13,1404928101.0,309576.0,323117.4375,8.8000001907,184.600006103,19.2193908691,-19.3211345673,-1.0
1.26395608076e+13,1404928101.0,309576.0,323117.4375,8.8000001907,184.600006103,19.2193908691,-19.3211345673,-1.0
1.26395608076e+13,1404928101.0,309576.0,323117.4375,8.8000001907,184.600006103,19.2193908691,-19.3211345673,-1.0
1.26395608076e+13,1404928114.0,309576.0,323117.4375,7.5999999046,181.0,19.2189712524,-19.3211708069,-1.0
1.26395608076e+13,1404928114.0,309576.0,323117.4375,7.5999999046,181.0,19.2189712524,-19.3211708069,-1.0
1.26395608076e+13,1404928114.0,309576.0,323117.4375,7.5999999046,181.0,19.2189712524,-19.3211708069,-1.0
1.26395608076e+13,1404928114.0,309576.0,323117.4375,7.5999999046,181.0,19.2189712524,-19.3211708069,-1.0
1.26395608076e+13,1404932827.0,311700.53125,337242.375,7.0999999046,173.399993897,19.0319919586,-19.3213882446,-1.0
1.26395608076e+13,1404932827.0,311700.53125,337242.375,7.0999999046,173.399993897,19.0319919586,-19.3213882446,-1.0
1.26395608076e+13,1404939363.0,314433.0625,354252.5,6.4000000954,6.8000001907,18.800163269,-19.3082237244,-1.0
1.26395608076e+13,1404939363.0,314433.0625,354252.5,6.4000000954,6.8000001907,18.800163269,-19.3082237244,-1.0
1.26395608076e+13,1404945879.0,308008.6875,335589.71875,7.3000001907,6.0999999046,19.0134086609,-19.2867126465,-1.0
1.26395608076e+13,1404945879.0,308008.6875,335589.71875,7.3000001907,6.0999999046,19.0134086609,-19.2867126465,-1.0
1.26395608076e+13,1404949471.0,306275.0625,325723.46875,8.0,359.899993897,19.135717392,-19.2851829529,-1.0
1.26395608076e+13,1404949471.0,306275.0625,325723.46875,8.0,359.899993897,19.135717392,-19.2851829529,-1.0
1.26395608076e+13,1404952455.0,304456.0,317962.3125,7.1999998093,359.700012207,19.23869133,-19.2849006653,-1.0
1.26395608076e+13,1404952455.0,304456.0,317962.3125,7.1999998093,359.700012207,19.23869133,-19.2849006653,-1.0
1.26395608076e+13,1404953063.0,303809.9375,316093.5,8.0,354.399993897,19.2594490051,-19.2846031189,-1.0
1.26395608076e+13,1404953063.0,303809.9375,316093.5,8.0,354.399993897,19.2594490051,-19.2846031189,-1.0
1.26395608076e+13,1404955035.0,301800.5,311993.96875,8.1999998093,358.0,19.3273334503,-19.2878608704,-1.0
1.26395608076e+13,1404955035.0,301800.5,311993.96875,8.1999998093,358.0,19.3273334503,-19.2878608704,-1.0
1.26395608076e+13,1404959003.0,292875.03125,302880.3125,8.1999998093,358.399993897,19.4667110443,-19.294839859,-1.0
1.26395608076e+13,1404959003.0,292875.03125,302880.3125,8.1999998093,358.399993897,19.4667110443,-19.294839859,-1.0
1.26395608076e+13,1404970074.0,301800.5,311884.96875,9.0,179.100006103,19.3838615417,-19.3344364166,-1.0
1.26395608076e+13,1404970074.0,301800.5,311884.96875,9.0,179.100006103,19.3838615417,-19.3344364166,-1.0
1.26395608076e+13,1404970074.0,301800.5,311884.96875,9.0,179.100006103,19.3838615417,-19.3344364166,-1.0
1.26395608076e+13,1404970074.0,301800.5,311884.96875,9.0,179.100006103,19.3838615417,-19.3344364166,-1.0
1.26395608076e+13,1404970086.0,301800.5,311884.96875,8.1999998093,174.199996948,19.3834209442,-19.3343791962,-1.0
